Date,Home,Opponent,Blank,Score,Blank2,Formation,Jersey,Shots,ShotsonTarget,Fouls,Corners,Offsides,Posession(%),Attendence,Season,MD,HomeDummy,For,Against,GD,win,draw,lose,result
28,home,Newcastle,,3-0,,    4-1-4-1,NA,20,8,9,14,4,61,60023,2013-14,0,1,3,0,3,1,0,0,Win
04-May-14,home,West Brom,,1-0,,    4-2-3-1,NA,15,4,9,9,NA,60,60021,2013-14,0,1,1,0,1,1,0,0,Win
26,,Stoke City,,0-0,,    4-2-3-1,A,17,2,9,11,1,67,27072,2012-13,0,0,0,0,0,0,1,0,Draw
23,,Man City,,01-Jan,,    4-2-3-1,NA,11,4,8,4,1,59,47318,2012-13,1,0,1,1,0,0,1,0,Draw
29,home,Chelsea,,01-Feb,,    4-2-3-1,NA,17,4,14,6,4,52,60101,2012-13,0,1,1,2,-1,0,0,1,Lose
06-Oct-12,,West Ham,,03-Jan,,    4-2-3-1,A,21,7,8,16,1,69,34974,2012-13,0,0,3,1,2,1,0,0,Win
27,home,QPR,,1-0,,    4-2-3-1,NA,21,9,16,5,1,66,60103,2012-13,0,1,1,0,1,1,0,0,Win
03-Nov-12,,Man Utd,,01-Feb,,    4-1-4-1,A,7,2,15,1,1,52,75492,2012-13,1,0,1,2,-1,0,0,1,Lose
10,home,Fulham,,03-Mar,,    4-2-3-1,NA,14,5,11,8,1,56,60093,2012-13,0,1,3,3,0,0,1,0,Draw
17,home,Tottenham,,05-Feb,,    4-1-4-1,NA,13,7,13,6,4,66,60111,2012-13,0,1,5,2,3,1,0,0,Win
8,home,West Brom,,2-0,,    4-1-4-1,NA,19,3,13,7,6,59,60083,2012-13,0,1,2,0,2,1,0,0,Win
22,,Wigan,,1-0,,    4-1-4-1,NA,11,4,9,4,1,50,21754,2012-13,0,0,1,0,1,1,0,0,Win
29,home,Newcastle,,07-Mar,,    4-2-3-1,NA,16,10,9,5,2,44,60087,2012-13,0,1,7,3,4,1,0,0,Win
13,home,Man City,,0-2,,    4-2-3-1,NA,9,3,12,2,3,40,60107,2012-13,1,1,0,2,-2,0,0,1,Lose
20,,Chelsea,,01-Feb,,    4-2-3-1,NA,12,6,11,9,5,50,41784,2012-13,0,0,1,2,-1,0,0,1,Lose
23,home,West Ham,,05-Jan,,    4-2-3-1,NA,24,10,9,13,2,69,60081,2012-13,0,1,5,1,4,1,0,0,Win
02-Feb-13,home,Stoke City,,1-0,,    4-2-3-1,NA,23,5,3,11,2,66,59872,2012-13,0,1,1,0,1,1,0,0,Win
03-Mar-13,,Tottenham,,01-Feb,,    4-2-3-1,NA,11,2,13,6,2,61,36170,2012-13,0,0,1,2,-1,0,0,1,Lose
06-Apr-13,,West Brom,,02-Jan,,    4-2-3-1,NA,11,6,16,4,1,48,26144,2012-13,0,0,2,1,1,1,0,0,Win
20,,Fulham,,1-0,,    4-2-3-1,NA,11,3,9,3,3,71,25700,2012-13,0,0,1,0,1,1,0,0,Win
28,home,Man Utd,,01-Jan,,    4-2-3-1,NA,19,6,11,7,1,52,60112,2012-13,0,1,1,1,0,0,1,0,Draw
04-May-13,,QPR,,1-0,,    4-2-3-1,NA,12,7,9,7,5,59,18178,2012-13,0,0,1,0,1,1,0,0,Win
14,home,Wigan,,04-Jan,,    4-2-3-1,NA,21,10,12,7,2,48,60068,2012-13,1,1,4,1,3,1,0,0,Win
19,,Newcastle,,1-0,,    4-2-3-1,NA,10,2,10,4,2,49,52354,2012-13,0,0,1,0,1,1,0,0,Win
13-Aug-11,,Newcastle,,0-0,,    4-1-4-1,NA,11,2,11,5,1,63,46894,2011-12,0,0,0,0,0,0,1,0,Draw
28,,Man Utd,,02-Aug,,    4-1-4-1,A,20,8,8,5,NA,44,75448,2011-12,0,0,2,8,-6,0,0,1,Lose
17,,Blackburn,,03-Apr,,    4-1-4-1,NA,23,9,11,13,1,69,22637,2011-12,0,0,3,4,-1,0,0,1,Lose
02-Oct-11,,Tottenham,,01-Feb,,    4-1-4-1,NA,13,5,8,7,2,62,36274,2011-12,1,0,1,2,-1,0,0,1,Lose
23,home,Stoke City,,03-Jan,,    4-1-4-1,NA,9,4,10,10,2,67,59671,2011-12,0,1,3,1,2,1,0,0,Win
29,,Chelsea,,05-Mar,,    4-1-4-1,NA,13,7,19,2,2,48,41801,2011-12,0,0,5,3,2,1,0,0,Win
05-Nov-11,home,West Brom,,3-0,,    4-1-4-1,NA,12,5,12,4,1,67,60091,2011-12,0,1,3,0,3,1,0,0,Win
26,home,Fulham,,01-Jan,,    4-1-4-1,NA,20,9,10,13,3,56,60043,2011-12,1,1,1,1,0,0,1,0,Draw
03-Dec-11,,Wigan,,4-0,,    4-1-4-1,NA,16,7,12,5,3,65,19280,2011-12,0,0,4,0,4,1,0,0,Win
18,,Man City,,0-1,,    4-1-4-1,NA,14,6,11,6,3,53,47303,2011-12,0,0,0,1,-1,0,0,1,Lose
31,home,QPR,,1-0,,    4-1-4-1,NA,18,4,11,12,6,59,60067,2011-12,0,1,1,0,1,1,0,0,Win
02-Jan-12,,Fulham,,01-Feb,,    4-1-4-1,NA,19,9,13,3,4,47,25700,2011-12,0,0,1,2,-1,0,0,1,Lose
22,home,Man Utd,,01-Feb,,    4-1-4-1,NA,14,3,15,NA,NA,49,60093,2011-12,1,1,1,2,-1,0,0,1,Lose
4,home,Blackburn,,07-Jan,,    4-1-4-1,NA,19,8,11,11,3,68,59643,2011-12,0,1,7,1,6,1,0,0,Win
26,home,Tottenham,,05-Feb,,    4-1-4-1,NA,23,8,16,7,NA,57,60106,2011-12,1,1,5,2,3,1,0,0,Win
12,home,Newcastle,,02-Jan,,    4-2-3-1,NA,23,8,11,6,8,61,60095,2011-12,0,1,2,1,1,1,0,0,Win
31,,QPR,,01-Feb,,    4-2-3-1,NA,13,6,10,6,3,68,18033,2011-12,1,0,1,2,-1,0,0,1,Lose
08-Apr-12,home,Man City,,1-0,,    4-2-3-1,NA,13,NA,14,7,3,64,60096,2011-12,0,1,1,0,1,1,0,0,Win
16,home,Wigan,,01-Feb,,    4-2-3-1,NA,23,4,16,9,1,64,60060,2011-12,0,1,1,2,-1,0,0,1,Lose
21,home,Chelsea,,0-0,,    4-2-3-1,NA,13,4,12,7,5,57,60111,2011-12,1,1,0,0,0,0,1,0,Draw
28,,Stoke City,,01-Jan,,    4-2-3-1,A,17,5,11,5,2,63,27502,2011-12,0,0,1,1,0,0,1,0,Draw
13,,West Brom,,03-Feb,,    4-1-4-1,NA,13,3,11,5,3,58,26358,2011-12,0,0,3,2,1,1,0,0,Win
