Date,Home,Opponent,Blank,Score,Blank2,Formation,Jersey,Shots,ShotsonTarget,Fouls,Corners,Offsides,Posession(%),Attendence,Season,MD,HomeDummy,For,Against,GD,win,draw,lose,result
21,,Tottenham,,02-Feb,,    4-4-1-1,NA,17,3,6,6,2,56,36050,2006-7,1,0,2,2,0,0,1,0,Draw
29,home,Fulham,,03-Jan,,    4-4-2,NA,15,8,6,7,5,58,60043,2006-7,0,1,3,1,2,1,0,0,Win
06-May-07,home,Chelsea,,01-Jan,,    4-4-2,NA,8,3,19,3,3,53,60102,2006-7,0,1,1,1,0,0,1,0,Draw
14-Aug-05,home,Newcastle,,2-0,,    4-4-1-1,NA,15,12,15,8,5,57,38072,2005-6,0,1,2,0,2,1,0,0,Win
21,,Chelsea,,0-1,,    4-4-1-1,NA,9,3,21,7,NA,49,42136,2005-6,0,0,0,1,-1,0,0,1,Lose
24,home,Fulham,,04-Jan,,    4-4-2,NA,20,14,16,6,3,57,37867,2005-6,0,1,4,1,3,1,0,0,Win
24,,West Ham,,0-0,,    4-4-2,NA,8,2,7,3,1,46,34742,2005-6,1,0,0,0,0,0,1,0,Draw
02-Oct-05,home,Birminghm,,1-0,,    4-4-2,NA,16,13,13,11,3,51,37891,2005-6,0,1,1,0,1,1,0,0,Win
15,,West Brom,,01-Feb,,    4-4-2,NA,14,10,10,6,2,61,26604,2005-6,0,0,1,2,-1,0,0,1,Lose
22,home,Man City,,1-0,,    4-4-2,NA,4,2,24,4,2,56,38189,2005-6,0,1,1,0,1,1,0,0,Win
29,,Tottenham,,01-Jan,,    4-4-2,NA,10,7,13,1,5,51,36154,2005-6,0,0,1,1,0,0,1,0,Draw
19,,Wigan,,03-Feb,,    4-4-2,NA,13,8,17,2,NA,61,25004,2005-6,0,0,3,2,1,1,0,0,Win
26,home,Blackburn,,3-0,,    4-4-2,NA,13,10,9,9,2,52,38192,2005-6,0,1,3,0,3,1,0,0,Win
10,,Newcastle,,0-1,,    4-4-2,NA,6,3,13,4,2,53,52297,2005-6,0,0,0,1,-1,0,0,1,Lose
18,home,Chelsea,,0-2,,    4-5-1,NA,7,5,13,5,2,57,38347,2005-6,0,1,0,2,-2,0,0,1,Lose
26,,Charlton,,1-0,,    4-4-2,NA,18,11,10,10,6,58,27111,2005-6,0,0,1,0,1,1,0,0,Win
03-Jan-06,home,Man Utd,,0-0,,    4-3-2-1,NA,8,5,17,6,1,54,38313,2005-6,0,1,0,0,0,0,1,0,Draw
01-Feb-06,home,West Ham,,02-Mar,,    4-4-2,NA,16,10,6,12,3,56,38216,2005-6,0,1,2,3,-1,0,0,1,Lose
4,,Birminghm,,2-0,,    4-4-2,NA,9,6,21,6,2,51,27075,2005-6,0,0,2,0,2,1,0,0,Win
25,,Blackburn,,0-1,,    4-4-2,NA,10,3,10,5,5,53,22504,2005-6,0,0,0,1,-1,0,0,1,Lose
04-Mar-06,,Fulham,,4-0,,    4-4-2,NA,18,11,15,7,5,47,22397,2005-6,0,0,4,0,4,1,0,0,Win
18,home,Charlton,,3-0,,    4-4-2,NA,17,9,6,8,1,56,38223,2005-6,0,1,3,0,3,1,0,0,Win
9,,Man Utd,,0-2,,    4-4-2,NA,11,3,16,3,1,48,70908,2005-6,0,0,0,2,-2,0,0,1,Lose
15,home,West Brom,,03-Jan,,    4-4-2,NA,17,10,8,5,7,58,38167,2005-6,1,1,3,1,2,1,0,0,Win
22,home,Tottenham,,01-Jan,,    4-4-2,NA,9,6,9,5,2,47,38326,2005-6,0,1,1,1,0,0,1,0,Draw
4,,Man City,,03-Jan,,    4-4-2,NA,18,12,8,6,4,51,41875,2005-6,0,0,3,1,2,1,0,0,Win
7,home,Wigan,,04-Feb,,    4-4-2,NA,14,7,12,5,3,57,38359,2005-6,0,1,4,2,2,1,0,0,Win
